

------------------------------ kernel_name: _Z9conv_colsPfPKfS1_iii ------------------------------
baseline_profiling #####
%651, mode: 1, baseline: 2035.969400, time: 1928.777000, offp: 5.264932, speedup: 1.055575
%657, mode: 0, baseline: 2035.969400, time: 2036.310000, offp: -0.016729, speedup: 0.999833
%657, mode: 1, baseline: 2035.969400, time: 1921.442000, offp: 5.625202, speedup: 1.059605
%663, mode: 0, baseline: 2035.969400, time: 2035.321000, offp: 0.031847, speedup: 1.000319
%663, mode: 1, baseline: 2035.969400, time: 1925.691000, offp: 5.416506, speedup: 1.057267
%667, mode: 0, baseline: 2035.969400, time: 2035.680000, offp: 0.014214, speedup: 1.000142
%667, mode: 1, baseline: 2035.969400, time: 1930.936000, offp: 5.158889, speedup: 1.054395
%673, mode: 0, baseline: 2035.969400, time: 2036.580000, offp: -0.029991, speedup: 0.999700
%673, mode: 1, baseline: 2035.969400, time: 1929.096000, offp: 5.249264, speedup: 1.055401
%679, mode: 0, baseline: 2035.969400, time: 2035.611000, offp: 0.017603, speedup: 1.000176
%679, mode: 1, baseline: 2035.969400, time: 1926.063000, offp: 5.398234, speedup: 1.057063
%685, mode: 0, baseline: 2035.969400, time: 2035.547000, offp: 0.020747, speedup: 1.000208
%685, mode: 1, baseline: 2035.969400, time: 1928.446000, offp: 5.281189, speedup: 1.055757
%691, mode: 0, baseline: 2035.969400, time: 2036.416000, offp: -0.021935, speedup: 0.999781
%691, mode: 1, baseline: 2035.969400, time: 1926.518000, offp: 5.375886, speedup: 1.056813
%697, mode: 0, baseline: 2035.969400, time: 2035.317000, offp: 0.032044, speedup: 1.000321
%697, mode: 1, baseline: 2035.969400, time: 1924.736000, offp: 5.463412, speedup: 1.057792
%703, mode: 0, baseline: 2035.969400, time: 2036.095000, offp: -0.006169, speedup: 0.999938
%703, mode: 1, baseline: 2035.969400, time: 1925.504000, offp: 5.425691, speedup: 1.057370
%709, mode: 0, baseline: 2035.969400, time: 2036.127000, offp: -0.007741, speedup: 0.999923
%709, mode: 1, baseline: 2035.969400, time: 1922.824000, offp: 5.557323, speedup: 1.058843
%718, mode: 0, baseline: 2035.969400, time: 2035.880000, offp: 0.004391, speedup: 1.000044
%718, mode: 1, baseline: 2035.969400, time: 1889.409000, offp: 7.198556, speedup: 1.077569
%724, mode: 0, baseline: 2035.969400, time: 2036.039000, offp: -0.003419, speedup: 0.999966
%724, mode: 1, baseline: 2035.969400, time: 1893.151000, offp: 7.014762, speedup: 1.075440
%730, mode: 0, baseline: 2035.969400, time: 2035.726000, offp: 0.011955, speedup: 1.000120
%730, mode: 1, baseline: 2035.969400, time: 1900.561000, offp: 6.650807, speedup: 1.071247
%736, mode: 0, baseline: 2035.969400, time: 2035.837000, offp: 0.006503, speedup: 1.000065
%736, mode: 1, baseline: 2035.969400, time: 1895.558000, offp: 6.896538, speedup: 1.074074
%742, mode: 0, baseline: 2035.969400, time: 2035.724000, offp: 0.012053, speedup: 1.000121
%742, mode: 1, baseline: 2035.969400, time: 1896.649000, offp: 6.842952, speedup: 1.073456
%748, mode: 0, baseline: 2035.969400, time: 2035.800000, offp: 0.008320, speedup: 1.000083
%748, mode: 1, baseline: 2035.969400, time: 1894.974000, offp: 6.925222, speedup: 1.074405
%754, mode: 0, baseline: 2035.969400, time: 2036.211000, offp: -0.011867, speedup: 0.999881
%754, mode: 1, baseline: 2035.969400, time: 1899.768000, offp: 6.689757, speedup: 1.071694
%760, mode: 0, baseline: 2035.969400, time: 2035.766000, offp: 0.009990, speedup: 1.000100
%760, mode: 1, baseline: 2035.969400, time: 1898.882000, offp: 6.733274, speedup: 1.072194
%766, mode: 0, baseline: 2035.969400, time: 2035.996000, offp: -0.001307, speedup: 0.999987
%766, mode: 1, baseline: 2035.969400, time: 1896.324000, offp: 6.858914, speedup: 1.073640
%770, mode: 0, baseline: 2035.969400, time: 2036.328000, offp: -0.017613, speedup: 0.999824
%770, mode: 1, baseline: 2035.969400, time: 1898.313000, offp: 6.761221, speedup: 1.072515
%776, mode: 0, baseline: 2035.969400, time: 2035.815000, offp: 0.007584, speedup: 1.000076
%776, mode: 1, baseline: 2035.969400, time: 1900.418000, offp: 6.657831, speedup: 1.071327
%782, mode: 0, baseline: 2035.969400, time: 2036.378000, offp: -0.020069, speedup: 0.999799
%782, mode: 1, baseline: 2035.969400, time: 1899.710000, offp: 6.692605, speedup: 1.071726
%788, mode: 0, baseline: 2035.969400, time: 2035.998000, offp: -0.001405, speedup: 0.999986
%788, mode: 1, baseline: 2035.969400, time: 1897.711000, offp: 6.790790, speedup: 1.072855
%794, mode: 0, baseline: 2035.969400, time: 2035.961000, offp: 0.000413, speedup: 1.000004
%794, mode: 1, baseline: 2035.969400, time: 1908.941000, offp: 6.239210, speedup: 1.066544
%800, mode: 0, baseline: 2035.969400, time: 2035.753000, offp: 0.010629, speedup: 1.000106
%800, mode: 1, baseline: 2035.969400, time: 1903.359000, offp: 6.513379, speedup: 1.069672
%806, mode: 0, baseline: 2035.969400, time: 2035.610000, offp: 0.017653, speedup: 1.000177
%806, mode: 1, baseline: 2035.969400, time: 1903.166000, offp: 6.522858, speedup: 1.069780
%812, mode: 0, baseline: 2035.969400, time: 2036.129000, offp: -0.007839, speedup: 0.999922
%812, mode: 1, baseline: 2035.969400, time: 1912.114000, offp: 6.083363, speedup: 1.064774
%821, mode: 0, baseline: 2035.969400, time: 2036.183000, offp: -0.010491, speedup: 0.999895
%821, mode: 1, baseline: 2035.969400, time: 1892.968000, offp: 7.023750, speedup: 1.075543
%827, mode: 0, baseline: 2035.969400, time: 2035.666000, offp: 0.014902, speedup: 1.000149
%827, mode: 1, baseline: 2035.969400, time: 1888.343000, offp: 7.250914, speedup: 1.078178
%833, mode: 0, baseline: 2035.969400, time: 2035.969000, offp: 0.000020, speedup: 1.000000
