

------------------------------ kernel_name: _Z9conv_rowsPfPKfS1_iii ------------------------------
baseline_profiling #####
%601, mode: 0, baseline: 494.455200, time: 494.962000, offp: -0.102497, speedup: 0.998976
%601, mode: 1, baseline: 494.455200, time: 489.432000, offp: 1.015906, speedup: 1.010263
%607, mode: 0, baseline: 494.455200, time: 494.477000, offp: -0.004409, speedup: 0.999956
%607, mode: 1, baseline: 494.455200, time: 489.502000, offp: 1.001749, speedup: 1.010119
%613, mode: 0, baseline: 494.455200, time: 494.378000, offp: 0.015613, speedup: 1.000156
%613, mode: 1, baseline: 494.455200, time: 489.406000, offp: 1.021164, speedup: 1.010317
%619, mode: 0, baseline: 494.455200, time: 494.388000, offp: 0.013591, speedup: 1.000136
%619, mode: 1, baseline: 494.455200, time: 489.535000, offp: 0.995075, speedup: 1.010051
%625, mode: 0, baseline: 494.455200, time: 494.647000, offp: -0.038790, speedup: 0.999612
%625, mode: 1, baseline: 494.455200, time: 489.370000, offp: 1.028445, speedup: 1.010391
%631, mode: 0, baseline: 494.455200, time: 494.907000, offp: -0.091373, speedup: 0.999087
%631, mode: 1, baseline: 494.455200, time: 489.423000, offp: 1.017726, speedup: 1.010282
%637, mode: 0, baseline: 494.455200, time: 494.796000, offp: -0.068924, speedup: 0.999311
%637, mode: 1, baseline: 494.455200, time: 489.498000, offp: 1.002558, speedup: 1.010127
%641, mode: 0, baseline: 494.455200, time: 494.680000, offp: -0.045464, speedup: 0.999546
%641, mode: 1, baseline: 494.455200, time: 489.656000, offp: 0.970604, speedup: 1.009801
%647, mode: 0, baseline: 494.455200, time: 494.948000, offp: -0.099665, speedup: 0.999004
%647, mode: 1, baseline: 494.455200, time: 489.535000, offp: 0.995075, speedup: 1.010051
%653, mode: 0, baseline: 494.455200, time: 494.668000, offp: -0.043037, speedup: 0.999570
%653, mode: 1, baseline: 494.455200, time: 489.582000, offp: 0.985570, speedup: 1.009954
%659, mode: 0, baseline: 494.455200, time: 494.745000, offp: -0.058610, speedup: 0.999414
%659, mode: 1, baseline: 494.455200, time: 489.491000, offp: 1.003974, speedup: 1.010142
%665, mode: 0, baseline: 494.455200, time: 494.957000, offp: -0.101485, speedup: 0.998986
%665, mode: 1, baseline: 494.455200, time: 489.722000, offp: 0.957256, speedup: 1.009665
%671, mode: 0, baseline: 494.455200, time: 494.593000, offp: -0.027869, speedup: 0.999721
%671, mode: 1, baseline: 494.455200, time: 489.501000, offp: 1.001951, speedup: 1.010121
%677, mode: 0, baseline: 494.455200, time: 494.299000, offp: 0.031590, speedup: 1.000316
%677, mode: 1, baseline: 494.455200, time: 489.497000, offp: 1.002760, speedup: 1.010129
%683, mode: 0, baseline: 494.455200, time: 494.626000, offp: -0.034543, speedup: 0.999655
%683, mode: 1, baseline: 494.455200, time: 489.736000, offp: 0.954424, speedup: 1.009636
%690, mode: 0, baseline: 494.455200, time: 494.401000, offp: 0.010962, speedup: 1.000110
%690, mode: 1, baseline: 494.455200, time: 492.187000, offp: 0.458727, speedup: 1.004608
%696, mode: 0, baseline: 494.455200, time: 494.737000, offp: -0.056992, speedup: 0.999430
%696, mode: 1, baseline: 494.455200, time: 492.273000, offp: 0.441334, speedup: 1.004433
%702, mode: 0, baseline: 494.455200, time: 494.450000, offp: 0.001052, speedup: 1.000011
%702, mode: 1, baseline: 494.455200, time: 492.046000, offp: 0.487243, speedup: 1.004896
%708, mode: 0, baseline: 494.455200, time: 494.648000, offp: -0.038992, speedup: 0.999610
%708, mode: 1, baseline: 494.455200, time: 492.119000, offp: 0.472480, speedup: 1.004747
%714, mode: 0, baseline: 494.455200, time: 494.151000, offp: 0.061522, speedup: 1.000616
%714, mode: 1, baseline: 494.455200, time: 492.178000, offp: 0.460547, speedup: 1.004627
%720, mode: 0, baseline: 494.455200, time: 494.801000, offp: -0.069936, speedup: 0.999301
%720, mode: 1, baseline: 494.455200, time: 492.120000, offp: 0.472277, speedup: 1.004745
%726, mode: 0, baseline: 494.455200, time: 494.326000, offp: 0.026130, speedup: 1.000261
%726, mode: 1, baseline: 494.455200, time: 492.321000, offp: 0.431627, speedup: 1.004335
%732, mode: 0, baseline: 494.455200, time: 494.364000, offp: 0.018445, speedup: 1.000184
%732, mode: 1, baseline: 494.455200, time: 492.259000, offp: 0.444166, speedup: 1.004461
%738, mode: 0, baseline: 494.455200, time: 494.302000, offp: 0.030984, speedup: 1.000310
%738, mode: 1, baseline: 494.455200, time: 492.195000, offp: 0.457109, speedup: 1.004592
%742, mode: 0, baseline: 494.455200, time: 494.391000, offp: 0.012984, speedup: 1.000130
%742, mode: 1, baseline: 494.455200, time: 492.217000, offp: 0.452660, speedup: 1.004547
%748, mode: 0, baseline: 494.455200, time: 494.699000, offp: -0.049307, speedup: 0.999507
%748, mode: 1, baseline: 494.455200, time: 492.268000, offp: 0.442345, speedup: 1.004443
%754, mode: 0, baseline: 494.455200, time: 494.977000, offp: -0.105530, speedup: 0.998946
%754, mode: 1, baseline: 494.455200, time: 492.300000, offp: 0.435874, speedup: 1.004378
%760, mode: 0, baseline: 494.455200, time: 494.704000, offp: -0.050318, speedup: 0.999497
%760, mode: 1, baseline: 494.455200, time: 492.275000, offp: 0.440930, speedup: 1.004429
%766, mode: 0, baseline: 494.455200, time: 494.509000, offp: -0.010881, speedup: 0.999891
%766, mode: 1, baseline: 494.455200, time: 492.148000, offp: 0.466615, speedup: 1.004688
%772, mode: 0, baseline: 494.455200, time: 494.381000, offp: 0.015006, speedup: 1.000150
%772, mode: 1, baseline: 494.455200, time: 492.312000, offp: 0.433447, speedup: 1.004353
%778, mode: 0, baseline: 494.455200, time: 494.699000, offp: -0.049307, speedup: 0.999507
%778, mode: 1, baseline: 494.455200, time: 492.100000, offp: 0.476322, speedup: 1.004786
%784, mode: 0, baseline: 494.455200, time: 494.726000, offp: -0.054767, speedup: 0.999453
%784, mode: 1, baseline: 494.455200, time: 492.291000, offp: 0.437694, speedup: 1.004396
%791, mode: 0, baseline: 494.455200, time: 494.866000, offp: -0.083081, speedup: 0.999170
%791, mode: 1, baseline: 494.455200, time: 491.355000, offp: 0.626993, speedup: 1.006309
%797, mode: 0, baseline: 494.455200, time: 495.002000, offp: -0.110586, speedup: 0.998895
%797, mode: 1, baseline: 494.455200, time: 491.395000, offp: 0.618903, speedup: 1.006228
%803, mode: 0, baseline: 494.455200, time: 494.596000, offp: -0.028476, speedup: 0.999715
%803, mode: 1, baseline: 494.455200, time: 491.511000, offp: 0.595443, speedup: 1.005990
%809, mode: 0, baseline: 494.455200, time: 494.299000, offp: 0.031590, speedup: 1.000316
%809, mode: 1, baseline: 494.455200, time: 491.520000, offp: 0.593623, speedup: 1.005972
%815, mode: 0, baseline: 494.455200, time: 494.534000, offp: -0.015937, speedup: 0.999841
%815, mode: 1, baseline: 494.455200, time: 491.664000, offp: 0.564500, speedup: 1.005677
%821, mode: 0, baseline: 494.455200, time: 494.471000, offp: -0.003195, speedup: 0.999968
%821, mode: 1, baseline: 494.455200, time: 491.495000, offp: 0.598679, speedup: 1.006023
%827, mode: 0, baseline: 494.455200, time: 494.909000, offp: -0.091778, speedup: 0.999083
%827, mode: 1, baseline: 494.455200, time: 491.504000, offp: 0.596859, speedup: 1.006004
%833, mode: 0, baseline: 494.455200, time: 494.837000, offp: -0.077216, speedup: 0.999228
%833, mode: 1, baseline: 494.455200, time: 491.315000, offp: 0.635083, speedup: 1.006391
