

------------------------------ kernel_name: _Z9conv_colsPfPKfS1_iii ------------------------------
baseline_profiling #####
%794, mode: 0, baseline: 2036.793400, time: 2036.720000, offp: 0.003604, speedup: 1.000036
%794, mode: 1, baseline: 2036.793400, time: 1902.027000, offp: 6.616596, speedup: 1.070854
%800, mode: 0, baseline: 2036.793400, time: 2036.228000, offp: 0.027759, speedup: 1.000278
%800, mode: 1, baseline: 2036.793400, time: 1896.476000, offp: 6.889133, speedup: 1.073988
%806, mode: 0, baseline: 2036.793400, time: 2036.611000, offp: 0.008955, speedup: 1.000090
%806, mode: 1, baseline: 2036.793400, time: 1900.313000, offp: 6.700748, speedup: 1.071820
%812, mode: 0, baseline: 2036.793400, time: 2036.583000, offp: 0.010330, speedup: 1.000103
%812, mode: 1, baseline: 2036.793400, time: 1908.785000, offp: 6.284800, speedup: 1.067063
%821, mode: 0, baseline: 2036.793400, time: 2036.203000, offp: 0.028987, speedup: 1.000290
%821, mode: 1, baseline: 2036.793400, time: 1886.213000, offp: 7.393013, speedup: 1.079832
%827, mode: 0, baseline: 2036.793400, time: 2036.418000, offp: 0.018431, speedup: 1.000184
%827, mode: 1, baseline: 2036.793400, time: 1883.820000, offp: 7.510502, speedup: 1.081204
%833, mode: 0, baseline: 2036.793400, time: 2036.417000, offp: 0.018480, speedup: 1.000185
