

------------------------------ kernel_name: _Z9conv_rowsPfPKfS1_iii ------------------------------
baseline_profiling #####
%778, mode: 0, baseline: 494.363800, time: 494.095000, offp: 0.054373, speedup: 1.000544
%778, mode: 1, baseline: 494.363800, time: 492.083000, offp: 0.461361, speedup: 1.004635
%784, mode: 0, baseline: 494.363800, time: 494.439000, offp: -0.015211, speedup: 0.999848
%784, mode: 1, baseline: 494.363800, time: 491.877000, offp: 0.503030, speedup: 1.005056
%791, mode: 0, baseline: 494.363800, time: 494.229000, offp: 0.027267, speedup: 1.000273
%791, mode: 1, baseline: 494.363800, time: 491.319000, offp: 0.615903, speedup: 1.006197
%797, mode: 0, baseline: 494.363800, time: 493.769000, offp: 0.120316, speedup: 1.001205
%797, mode: 1, baseline: 494.363800, time: 491.365000, offp: 0.606598, speedup: 1.006103
%803, mode: 0, baseline: 494.363800, time: 494.224000, offp: 0.028279, speedup: 1.000283
%803, mode: 1, baseline: 494.363800, time: 491.413000, offp: 0.596888, speedup: 1.006005
%809, mode: 0, baseline: 494.363800, time: 494.256000, offp: 0.021806, speedup: 1.000218
%809, mode: 1, baseline: 494.363800, time: 491.399000, offp: 0.599720, speedup: 1.006033
%815, mode: 0, baseline: 494.363800, time: 494.063000, offp: 0.060846, speedup: 1.000609
%815, mode: 1, baseline: 494.363800, time: 490.969000, offp: 0.686701, speedup: 1.006914
%821, mode: 0, baseline: 494.363800, time: 494.115000, offp: 0.050327, speedup: 1.000504
%821, mode: 1, baseline: 494.363800, time: 491.261000, offp: 0.627635, speedup: 1.006316
%827, mode: 0, baseline: 494.363800, time: 494.420000, offp: -0.011368, speedup: 0.999886
%827, mode: 1, baseline: 494.363800, time: 490.871000, offp: 0.706524, speedup: 1.007116
%833, mode: 0, baseline: 494.363800, time: 494.303000, offp: 0.012299, speedup: 1.000123
%833, mode: 1, baseline: 494.363800, time: 491.051000, offp: 0.670114, speedup: 1.006746
